,LOTTO GAME,DRAW DATE,JACKPOT (PHP),WINNERS,BALL 1,BALL 2,BALL 3,BALL 4,BALL 5,BALL 6
684,Grand Lotto 6/55,7 08 2023,"45,317,102.00",0,51,1,43,13,18,53
685,Megalotto 6/45,7 08 2023,"39,581,247.60",0,25,30,43,10,32,16
693,Ultra Lotto 6/58,6 08 2023,"81,063,971.80",0,41,20,19,16,42,46
694,Superlotto 6/49,6 08 2023,"15,840,000.00",0,17,41,36,38,28,23
701,Grand Lotto 6/55,5 08 2023,"41,184,730.20",0,43,15,2,33,16,25
702,Lotto 6/42,5 08 2023,"22,896,342.80",1,34,35,24,20,36,39
710,Ultra Lotto 6/58,4 08 2023,"74,836,568.80",0,56,37,11,17,32,6
711,Megalotto 6/45,4 08 2023,"34,379,987.60",0,16,39,42,4,30,7
719,Superlotto 6/49,3 08 2023,"15,840,000.00",0,9,34,49,39,5,45
720,Lotto 6/42,3 08 2023,"18,307,868.20",0,21,16,14,29,6,22
728,Grand Lotto 6/55,2 08 2023,"36,680,029.40",0,46,38,43,4,8,17
729,Megalotto 6/45,2 08 2023,"29,337,617.00",0,20,10,18,39,14,16
737,Ultra Lotto 6/58,1 08 2023,"68,600,405.40",0,15,52,7,47,31,41
738,Superlotto 6/49,1 08 2023,"15,840,000.00",0,43,33,25,9,11,44
739,Lotto 6/42,1 08 2023,"13,690,185.60",0,25,33,6,42,40,35
747,Grand Lotto 6/55,31 07 2023,"32,618,377.60",0,11,36,23,34,15,27
748,Megalotto 6/45,31 07 2023,"24,717,695.80",0,9,44,35,31,29,7
756,Ultra Lotto 6/58,30 07 2023,"63,297,912.40",0,48,29,10,49,52,16
757,Superlotto 6/49,30 07 2023,"15,840,000.00",0,18,2,22,41,23,14
764,Grand Lotto 6/55,29 07 2023,"29,700,000.00",0,3,24,19,1,17,11
765,Lotto 6/42,29 07 2023,"9,965,962.00",0,21,13,8,28,12,41
773,Ultra Lotto 6/58,28 07 2023,"57,688,799.40",0,37,1,23,54,43,50
774,Megalotto 6/45,28 07 2023,"19,947,753.60",0,36,42,10,23,9,43
782,Superlotto 6/49,27 07 2023,"93,693,905.40",1,42,12,25,5,19,18
783,Lotto 6/42,27 07 2023,"6,446,797.40",0,19,29,12,5,13,34
791,Grand Lotto 6/55,26 07 2023,"29,700,000.00",0,54,2,3,21,13,6
792,Megalotto 6/45,26 07 2023,"15,784,001.20",0,12,1,7,41,2,38
800,Ultra Lotto 6/58,25 07 2023,"52,505,425.80",0,9,43,12,20,45,23
801,Superlotto 6/49,25 07 2023,"86,355,862.20",0,35,44,26,1,5,30
802,Lotto 6/42,25 07 2023,"5,940,000.00",0,7,12,13,37,36,29
810,Grand Lotto 6/55,24 07 2023,"29,700,000.00",0,49,55,20,52,36,47
811,Megalotto 6/45,24 07 2023,"11,968,794.80",0,18,21,20,16,38,27
819,Ultra Lotto 6/58,23 07 2023,"49,500,000.00",0,23,5,3,22,58,47
820,Superlotto 6/49,23 07 2023,"79,722,789.60",0,37,42,38,5,19,15
827,Grand Lotto 6/55,22 07 2023,"29,700,000.00",0,15,38,23,28,3,49
828,Lotto 6/42,22 07 2023,"22,821,402.20",1,14,27,19,26,8,38
836,Ultra Lotto 6/58,21 07 2023,"49,500,000.00",0,57,36,49,31,15,33
837,Megalotto 6/45,21 07 2023,"8,910,000.00",0,7,42,26,40,41,13
845,Superlotto 6/49,20 07 2023,"72,322,903.60",0,43,2,4,46,30,7
846,Lotto 6/42,20 07 2023,"18,132,604.20",0,28,23,22,18,19,36
854,Grand Lotto 6/55,19 07 2023,"29,700,000.00",0,48,28,17,55,47,22
855,Megalotto 6/45,19 07 2023,"8,910,000.00",0,7,43,6,23,10,11
863,Ultra Lotto 6/58,18 07 2023,"49,500,000.00",0,12,16,44,47,30,2
864,Superlotto 6/49,18 07 2023,"65,606,535.20",0,37,1,20,32,15,36
865,Lotto 6/42,18 07 2023,"14,002,606.40",0,4,14,18,36,27,7
873,Grand Lotto 6/55,17 07 2023,"29,700,000.00",0,55,35,42,23,11,1
874,Megalotto 6/45,17 07 2023,"42,900,615.40",1,31,13,10,37,34,18
882,Ultra Lotto 6/58,16 07 2023,"49,500,000.00",0,28,32,56,29,1,41
883,Superlotto 6/49,16 07 2023,"59,895,409.60",0,43,9,45,25,5,19
890,Grand Lotto 6/55,15 07 2023,"29,700,000.00",0,34,46,48,23,21,30
891,Lotto 6/42,15 07 2023,"10,393,564.60",0,36,16,18,35,5,39
899,Ultra Lotto 6/58,14 07 2023,"49,500,000.00",0,15,37,2,48,22,51
900,Megalotto 6/45,14 07 2023,"36,918,981.80",0,43,12,8,41,15,16
908,Superlotto 6/49,13 07 2023,"53,596,216.20",0,8,45,30,15,27,44
909,Lotto 6/42,13 07 2023,"6,389,050.60",0,14,38,36,10,2,13
917,Grand Lotto 6/55,12 07 2023,"29,700,000.00",1,19,32,25,12,17,36
918,Megalotto 6/45,12 07 2023,"32,004,665.00",0,38,2,19,13,21,36
926,Ultra Lotto 6/58,11 07 2023,"49,500,000.00",0,33,37,14,49,3,34
927,Superlotto 6/49,11 07 2023,"48,236,471.00",0,42,46,9,4,24,16
928,Lotto 6/42,11 07 2023,"5,940,000.00",0,23,7,36,19,21,41
936,Grand Lotto 6/55,10 07 2023,"29,700,000.00",0,28,40,38,35,19,52
937,Megalotto 6/45,10 07 2023,"27,153,722.80",0,13,26,38,45,42,41
945,Ultra Lotto 6/58,9 07 2023,"49,500,000.00",0,50,10,49,53,14,16
946,Superlotto 6/49,9 07 2023,"43,504,723.00",0,7,3,26,2,47,34
953,Grand Lotto 6/55,8 07 2023,"29,700,000.00",0,48,24,2,12,42,43
954,Lotto 6/42,8 07 2023,"7,656,441.80",1,3,28,12,26,8,21
962,Ultra Lotto 6/58,7 07 2023,"49,500,000.00",0,3,56,2,22,46,6
963,Megalotto 6/45,7 07 2023,"22,063,101.40",0,33,44,7,31,35,4
971,Superlotto 6/49,6 07 2023,"38,193,042.40",0,41,20,38,46,3,47
972,Lotto 6/42,6 07 2023,"5,940,000.00",0,39,5,29,8,33,41
980,Grand Lotto 6/55,5 07 2023,"58,983,172.20",1,5,1,27,26,44,11
981,Megalotto 6/45,5 07 2023,"17,212,938.80",0,24,8,29,18,44,39
989,Ultra Lotto 6/58,4 07 2023,"49,500,000.00",0,8,51,28,18,37,23
990,Superlotto 6/49,4 07 2023,"32,648,838.80",0,23,33,29,12,44,13
991,Lotto 6/42,4 07 2023,"5,940,000.00",1,10,19,31,27,18,25
999,Grand Lotto 6/55,3 07 2023,"53,301,641.20",0,20,22,52,54,33,30
1000,Megalotto 6/45,3 07 2023,"12,913,009.60",0,3,33,19,35,18,29
1008,Ultra Lotto 6/58,2 07 2023,"49,500,000.00",0,41,12,57,39,56,2
1009,Superlotto 6/49,2 07 2023,"28,386,771.40",0,43,23,44,34,24,7
1016,Grand Lotto 6/55,1 07 2023,"47,791,236.20",0,21,26,15,48,35,30
1017,Lotto 6/42,1 07 2023,"61,234,178.20",1,18,25,12,14,13,22
1025,Ultra Lotto 6/58,30 06 2023,"366,687,465.20",1,43,58,37,47,27,17
1026,Megalotto 6/45,30 06 2023,"8,910,000.00",0,14,32,15,40,8,29
1034,Superlotto 6/49,29 06 2023,"23,465,310.60",0,33,44,45,12,17,41
1035,Lotto 6/42,29 06 2023,"53,962,120.20",0,6,38,9,18,4,37
1043,Grand Lotto 6/55,28 06 2023,"43,318,185.80",0,47,45,41,6,37,48
1044,Megalotto 6/45,28 06 2023,"8,910,000.00",0,13,8,3,31,30,43
1052,Ultra Lotto 6/58,27 06 2023,"343,618,797.60",0,28,19,24,35,38,37
1053,Superlotto 6/49,27 06 2023,"19,272,978.80",0,21,45,6,43,40,32
1054,Lotto 6/42,27 06 2023,"46,545,659.20",0,28,27,20,19,16,39
1062,Grand Lotto 6/55,26 06 2023,"38,433,664.00",0,28,10,1,35,30,48
1063,Megalotto 6/45,26 06 2023,"35,502,637.60",1,26,40,6,12,44,14
1071,Ultra Lotto 6/58,25 06 2023,"325,862,813.20",0,21,40,54,29,6,32
1072,Superlotto 6/49,25 06 2023,"15,840,000.00",0,4,48,49,31,43,28
1079,Grand Lotto 6/55,24 06 2023,"34,139,292.20",0,10,18,33,39,23,11
1080,Lotto 6/42,24 06 2023,"40,498,573.20",0,27,15,6,37,20,33
1088,Ultra Lotto 6/58,23 06 2023,"309,763,376.00",0,2,31,47,27,49,55
1089,Megalotto 6/45,23 06 2023,"30,316,911.00",0,42,25,41,24,31,19
1097,Superlotto 6/49,22 06 2023,"15,840,000.00",0,25,41,46,47,13,5
1098,Lotto 6/42,22 06 2023,"34,824,573.80",0,19,26,32,9,38,31
1106,Grand Lotto 6/55,21 06 2023,"30,087,693.60",0,11,4,43,36,51,18
1107,Megalotto 6/45,21 06 2023,"25,237,880.00",0,11,22,9,13,31,3
1115,Ultra Lotto 6/58,20 06 2023,"292,700,994.40",0,9,26,27,33,43,11
1116,Superlotto 6/49,20 06 2023,"15,840,000.00",0,29,7,20,35,42,39
1117,Lotto 6/42,20 06 2023,"29,046,723.00",0,14,21,8,36,23,10
